,Text,standford_sentiment,Vader_sentiment
432224,pretty ur follow luke and not me,Negative,Positive
1178354,beautiful day to be outside listen to the bird quot twitter quot in the sunshine,Positive,Positive
455046,my itunes decide to delete my music library one day so i haven t sync it for age,Negative,Neutral
1259774,down lbs i love my band to have my rd fill around,Neutral,Positive
217484,where d everyone go anyone there,Neutral,Neutral
1507441,just the lil things can make my day,Neutral,Neutral
697510,wth it be so hot yesterday amp now mayb the cloud will burn off,Negative,Negative
401488,thats to bad,Negative,Negative
828632,be gon na finish my convo with jesse and then have porno music comment time and then i m gon na go to bed,Negative,Neutral
1531766,shoot with justine after school then grind zero tonight,Negative,Negative
438241,wake up to pain,Neutral,Negative
326159,badminton tonight i hope my ankle win t act up,Negative,Positive
578375,ugh hahaha,Negative,Positive
1451382,oh haha you just ask the same thing lol im really tire i be in surfers for the whole day,Neutral,Positive
1512021,i m sit here in my big jumper with my trackies mmm comfortable,Negative,Positive
1155056,heh lucky for me the hash tag be plentiful,Neutral,Positive
1101940,hope it all go off well tonight amanda look forward to it,Positive,Positive
394993,head to gym then workin on my tan at the pool work at,Neutral,Neutral
1003302,good morning i hope everyone have lot plan for the bank holiday,Positive,Positive
471134,really not good i m jealous,Negative,Neutral
1093850,i m go somewhere and it s gon na be fun i ll be on again later bye,Negative,Positive
297179,actually no because there be already a dvd be make,Neutral,Negative
1595191,hm gb hours gb hour gb min gb min gb sec gb s not that bad when you look at it that way,Negative,Positive
897733,vou dormir dia realmente chato beijoquitas i ll go sleep really bore day xx,Negative,Negative
1469789,hiya i just want to say that your do a great job with your videos and it be a pleasure to watch them keep it up,Positive,Positive
962341,wow i could not hate exams any more than i already do revision be like so zzzzzzz bore i cant wait for summerrr will be amaze,Negative,Positive
386937,have be revise too much yet there be still much to do,Negative,Neutral
1178132,i try to change who i be to look better but then it s like why should i i m me and i finally get what they re on about be yourself,Negative,Positive
33613,awww really no thank even tho i really shud cuz i desperatly need the muni altho no overtime clare skint,Negative,Negative
561915,lesson learn don t make any drastic move that could kill you emotionally,Neutral,Negative
64508,they lose not very happy right now,Neutral,Negative
1370959,thx man appreciate the shout out,Neutral,Positive
131280,i m home it s rainy wet n cold my pc arrive tmr but i m off on an away job,Negative,Neutral
836662,gasp days until my birthday who else be an april baby,Neutral,Neutral
52766,at work,Neutral,Neutral
998262,guy just leave the port in a limo bus donnie hang back a few to say bye to fan thank you nkotb cruise until next year,Negative,Positive
541742,i m take sleep pills tonight noo way be i go to sleep at be again my goal for this summer be to have a healthy amt of sleep,Negative,Positive
1381269,use the laptop finally,Neutral,Neutral
1207840,dvj the glory be for god write you colombia friend marce,Neutral,Positive
1182660,i know you didn t reach yr goal time but remember you have a pack of us who root for you always go get em next time,Negative,Neutral
66,damm back to school tomorrow,Neutral,Neutral
1505407,tnight be fun,Positive,Positive
607653,i hope it go well,Neutral,Positive
784440,yeah please ask her to tell you which one it be so you can send me,Positive,Positive
1304384,bed time i think,Neutral,Neutral
555857,why be only nominate for one tca she deserve more include nominations for wowp and another cinderella story,Negative,Neutral
32274,ermmm i iz v boredd but tweet be fuun phaha nooo skwel tomoooo someone chear me up yehh x,Negative,Neutral
757157,just get the news that my aunt isn t do well at all the one who have cancer,Neutral,Negative
1549941,pick lock be fun,Positive,Positive
736367,watch the british f grand prix look like this season be pretty much over for lewis hamilton,Neutral,Positive
1389167,thank have fun scn,Positive,Positive
294698,now i want some cheesecake ice cream from cold stone with graham cracker crumb strawberries and caramel syrup mmm too bad,Negative,Negative
828304,l bz sipsip lol its obvious you have one great bday,Negative,Positive
1439882,you get to talk to terry no way that s awesome yeah you ll have to tell me all about it,Negative,Positive
